id,barriers_2,barriers_3,barriers_4,barriers_5,barriers_6,barriers_9,barriers_13,productivity_1
1,1,0,1,1,1,0,0,50
2,1,1,1,1,1,0,0,50
3,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,-2,50
5,0,0,0,0,-1,0,-1,20
6,-1,0,-1,0,0,0,-1,20
7,1,0,0,0,0,0,0,10
8,0,0,0,0,0,0,0,20
9,0,0,0,2,0,0,0,-50
10,0,0,0,0,0,0,0,50
11,1,1,0,1,1,1,0,50
12,0,0,0,1,0,1,0,20
13,0,0,0,0,0,0,0,-10
14,-2,-2,-2,-2,-2,-2,0,-20
15,1,0,0,0,0,0,0,40
16,-1,-1,-1,-1,-1,-1,0,50
17,0,0,0,0,0,0,0,50
18,0,1,0,0,1,0,0,10
19,1,1,1,0,0,0,0,10
20,-1,-1,0,0,-1,0,0,20
21,1,2,1,1,1,0,1,50
22,1,1,1,2,1,1,1,30
23,0,0,-1,-1,0,0,0,30
24,1,0,1,0,1,0,0,50
25,2,2,1,1,1,1,1,50
26,0,0,0,0,0,0,0,0
27,-1,0,0,0,-1,0,-1,30
28,0,0,0,1,0,1,1,30
29,1,2,2,1,2,2,2,40
30,0,0,0,-1,0,0,0,20
31,0,0,0,0,0,0,0,0
32,1,1,-1,0,0,0,0,30
33,-1,-1,-1,0,0,-2,-2,10
34,0,0,0,0,0,0,0,20
35,0,0,-1,0,0,0,0,-20
36,0,0,0,1,0,0,0,-10
37,0,1,1,0,0,0,0,50
38,1,1,-2,-2,0,-1,0,50
39,0,0,0,0,0,0,0,40
40,1,2,1,0,1,0,1,50
41,0,0,1,0,0,0,0,0
42,0,0,0,0,0,0,0,0
43,0,1,0,0,0,0,-1,50
44,1,1,0,0,1,0,0,50
45,-1,0,-2,0,-1,0,1,-20
46,0,0,0,1,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,-1,-1,-1,0,-2,-2,30
49,0,0,-1,0,0,0,-2,20
50,0,1,2,0,0,0,1,30
51,0,-1,0,-1,1,1,-1,50
52,0,0,0,0,0,0,0,0
53,2,2,2,2,2,2,2,50
54,0,0,0,0,0,0,0,50
55,1,0,1,2,1,2,1,30
56,1,0,0,0,-1,0,0,0
57,2,2,1,1,2,2,2,50
58,2,1,0,-2,-1,0,1,30
59,-2,0,-1,-2,0,-1,-2,20
60,0,0,0,0,0,0,0,0
61,1,2,0,0,0,0,0,50
62,0,0,0,0,0,0,1,0
63,0,0,0,0,0,0,0,0
64,-1,0,-1,0,-1,-1,0,-50
65,1,1,1,0,1,-1,0,0
66,0,0,0,0,1,1,-1,-20
67,2,1,0,1,1,1,1,30
68,0,0,1,0,0,0,1,10
69,1,1,0,0,0,0,0,20
70,0,0,0,0,-1,0,0,30
71,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0
73,1,1,1,2,1,0,1,30
74,1,0,0,0,0,0,0,10
75,0,2,0,0,0,0,-1,50
76,1,1,0,-1,0,0,0,-10
77,0,0,0,0,0,0,0,20
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,50
80,-2,-2,-2,-2,-2,-2,-2,10
81,-1,-1,-1,-1,0,-1,-1,20
82,1,-1,0,0,1,0,-1,50
83,0,-1,-2,-2,-1,0,0,-20
84,0,0,-1,0,0,0,0,30
85,0,0,0,0,-1,0,0,30
86,0,1,1,0,0,0,-2,0
87,1,0,1,1,0,1,0,-10
88,-1,-1,-1,0,-1,0,0,-20
89,0,0,0,0,0,0,0,50
90,0,0,0,-2,-1,0,0,0
91,0,0,0,0,0,0,0,0
92,-1,0,-1,-1,-2,-1,-2,30
93,-1,-1,-1,0,0,0,-2,0
94,0,1,1,1,1,1,0,0
95,0,1,0,0,0,0,0,0
96,-1,0,-1,-1,-1,0,-1,-10
97,-1,1,-2,1,-1,1,-1,40
98,0,1,0,0,0,0,0,50
99,1,0,2,0,1,2,0,30
100,0,1,1,2,1,0,1,10
101,0,1,-2,0,1,0,1,20
102,-2,0,0,0,-2,0,-1,10
103,0,0,0,0,-1,1,0,30
104,1,2,1,1,2,1,2,40
105,0,0,0,0,0,0,-1,0
106,-1,0,-2,-1,-1,-2,-1,30
107,0,0,0,1,1,1,0,40
108,0,1,-1,0,0,-1,1,0
109,1,1,0,1,1,1,1,20
110,0,0,0,0,0,0,0,30
111,-1,-1,0,1,0,0,1,40
112,-2,0,-1,-1,-1,-1,1,50
113,0,0,0,0,0,0,0,0
114,1,2,0,0,1,0,0,20
115,0,0,0,-1,0,0,0,20
116,1,1,1,1,0,1,-1,30
117,2,1,1,0,-1,0,2,20
118,0,-1,1,-1,-1,0,-1,-10
119,0,1,2,-2,1,2,-1,-30
120,2,2,0,0,2,2,0,50
121,0,1,-1,0,-1,0,1,0
122,2,0,0,0,1,0,0,20
123,0,0,1,-1,1,0,0,50
124,1,2,0,1,1,1,1,20
125,1,0,1,1,1,1,2,-10
126,1,1,1,1,1,1,1,50
127,2,2,2,2,2,-2,2,20
128,2,2,2,2,2,-1,0,-10
129,1,1,0,2,2,2,1,20
130,1,1,1,1,1,1,1,50
131,-2,-1,0,-2,1,1,-1,30
132,0,0,0,0,0,0,0,20
133,0,0,0,0,0,0,0,-10
134,2,0,1,0,0,0,1,0
135,-1,1,1,0,1,0,0,50
136,0,-1,-1,-2,-2,-1,-2,-30
137,0,0,2,1,1,0,1,20
138,0,0,0,0,0,1,0,0
139,0,0,0,0,0,0,0,30
140,-2,0,1,-1,1,1,1,50
141,1,0,1,0,1,2,0,30
142,0,0,0,-1,0,0,1,50
143,0,0,0,0,1,0,0,20
144,0,0,0,0,0,0,0,-50
145,0,0,0,0,-1,1,0,30
146,0,0,-1,0,0,0,-1,-30
147,0,1,1,0,1,0,0,30
148,1,2,0,0,1,0,-1,30
149,1,0,1,1,0,0,0,20
150,0,1,0,0,1,2,0,30
151,1,0,0,1,0,0,0,50
152,0,0,0,0,-1,-1,2,40
153,1,1,1,0,2,1,0,20
154,2,0,1,2,1,2,1,30
155,1,1,0,1,1,0,0,10
156,0,0,0,1,1,0,1,10
157,1,0,1,2,2,2,2,40
158,0,0,0,-2,0,0,0,-10
159,1,2,2,2,0,-2,-1,40
160,0,0,0,0,0,0,0,30
161,2,1,0,1,1,1,1,40
162,1,0,0,-1,0,0,-1,50
163,0,0,0,0,0,0,0,20
164,0,0,0,0,0,0,0,0
165,0,-1,-1,1,0,-1,-2,-10
166,1,2,1,2,2,0,2,50
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,-30
169,0,0,1,0,0,0,0,20
170,-1,0,-2,-1,-2,1,-1,-40
171,0,0,0,0,0,0,0,20
172,0,0,0,0,0,0,0,0
173,2,0,0,0,0,0,-2,0
174,0,1,-1,0,0,0,-1,30
175,0,0,-1,-1,0,0,0,50
176,0,0,0,0,0,0,0,-10
177,0,0,0,0,0,0,0,10
178,-2,0,-1,1,-1,-1,1,10
179,1,0,0,0,0,0,0,10
180,1,1,0,0,1,-1,-1,0
181,0,0,0,-1,0,0,0,30
182,0,1,1,0,0,0,-1,0
183,0,0,0,0,0,0,0,10
184,0,0,1,0,0,0,0,0
185,0,0,0,0,0,0,0,20
186,0,1,-2,-1,0,-2,0,-50
187,-1,1,0,0,0,0,-1,10
188,0,0,0,0,0,0,0,30
189,0,0,-1,0,0,0,0,-20
190,0,0,0,0,0,0,0,50
191,-1,0,1,1,2,1,0,20
192,0,1,1,0,1,0,-1,10
193,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,40
195,-1,0,0,0,0,0,-2,20
196,0,1,1,-1,1,1,-2,-10
197,0,0,0,0,0,0,0,-10
198,1,1,1,1,1,1,1,50
199,0,0,0,0,0,0,0,0
200,1,0,0,-1,-2,-2,2,50
201,0,0,0,0,0,0,0,40
202,0,0,0,0,0,0,0,50
203,0,0,0,0,0,0,0,50
204,0,0,0,0,0,0,0,10
205,0,0,-1,0,0,0,0,0
206,0,-1,1,0,2,1,2,40
207,0,0,0,0,0,0,0,0
208,1,1,1,1,1,1,1,50
209,1,-1,-2,-2,0,0,2,30
210,-1,0,-2,-1,-1,-2,0,20
211,0,0,0,0,0,0,0,0
212,1,1,1,1,0,0,-1,20
213,0,1,0,0,1,1,0,30
214,0,0,0,0,0,0,0,30
215,-1,0,1,1,1,0,2,20
216,0,1,1,-2,1,1,1,20
217,0,0,0,0,0,0,0,0
218,-1,0,-1,-1,0,1,1,20
219,-1,-1,-1,-1,-1,-1,1,50
220,0,0,0,0,0,0,0,30
221,1,0,-1,0,0,0,0,50
222,0,0,0,0,0,0,0,0
223,1,-2,0,-1,1,0,1,40
224,0,0,0,0,0,0,0,0
225,2,1,2,1,2,2,1,30
226,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0
228,1,1,1,1,1,1,1,50
229,0,0,0,0,0,1,1,20
230,0,1,1,1,2,0,-1,30
231,0,0,0,0,0,0,0,50
232,0,0,0,0,0,0,0,0
233,0,1,1,0,0,0,1,-40
234,1,0,0,2,0,0,-1,50
235,0,2,1,2,2,2,0,30
236,0,0,0,0,0,0,0,20
237,2,2,0,0,0,-2,-2,10
238,-1,1,1,0,-1,0,1,0
239,-2,-2,-1,0,-1,-1,-1,10
240,0,1,1,0,1,0,1,30
241,1,2,1,2,1,1,2,30
242,-1,0,0,-2,0,0,-1,50
243,1,2,1,2,1,1,2,30
244,0,0,0,0,0,0,-2,50
245,1,2,2,1,-2,2,2,0
246,1,2,1,2,1,2,2,30
247,0,-2,-2,-2,-1,-1,-1,-20
248,0,0,-1,0,-1,0,0,0
249,0,0,0,0,0,0,0,20
250,0,0,0,0,0,1,1,-10
251,-1,0,0,0,0,0,0,0
252,1,0,0,-1,0,1,1,0
253,2,2,1,1,2,2,2,50
254,0,1,0,0,0,0,0,0
255,-2,-2,-2,-2,-2,-2,0,0
256,0,0,0,-2,0,0,0,20
257,0,1,-1,1,0,0,0,20
258,0,1,0,0,0,0,0,40
259,0,0,0,1,1,1,1,50
260,2,2,2,2,2,2,2,0
261,0,0,0,0,0,0,0,-20
262,1,1,1,1,1,0,0,50
263,0,0,0,0,0,0,0,-30
264,1,1,1,0,1,0,1,-10
265,0,0,0,0,0,0,0,10
266,0,1,0,0,1,0,0,10
267,0,0,0,0,0,0,0,50
268,0,0,0,0,0,0,0,50
269,0,0,0,0,0,0,0,0
270,2,2,1,1,2,2,1,30
271,0,-1,-2,0,-2,-2,-1,-30
272,1,1,0,0,1,1,0,20
273,2,2,2,1,0,1,2,-30
274,-1,0,0,-1,-1,0,-1,0
275,1,0,0,0,0,0,0,20
276,1,1,0,0,0,0,0,50
277,1,1,2,0,0,0,0,40
278,-1,-2,1,-2,-1,2,0,30
279,0,-1,0,-2,-1,0,0,0
280,-1,-1,-1,-1,-1,-1,0,0
281,0,0,0,-1,0,0,0,30
282,0,1,0,0,0,0,0,0
283,0,0,0,0,0,1,0,20
284,0,0,0,0,0,0,0,0
285,0,-1,-1,0,-1,-1,0,-30
286,0,0,0,0,0,0,0,-10
287,0,0,0,0,0,0,0,50
288,0,0,0,0,0,0,0,30
289,1,1,1,2,1,0,0,30
290,-1,0,0,1,0,0,0,0
291,0,0,1,0,1,0,0,-10
292,0,0,0,0,0,0,0,50
293,0,0,0,0,0,0,0,-50
294,1,1,1,0,0,0,0,20
295,0,0,0,0,0,0,-1,30
296,1,1,2,1,0,1,0,20
297,0,0,0,0,0,0,0,0
298,0,-1,-1,0,-2,2,0,20
299,0,0,1,-1,0,0,0,20
300,-2,-2,-1,0,0,0,-2,-40
301,0,0,0,0,0,0,0,30
302,0,0,0,0,0,0,0,30
303,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,20
305,-1,1,-1,0,-1,1,1,-10
306,0,0,0,0,0,0,0,40
307,1,0,1,0,2,1,-2,20
308,0,0,0,-1,-1,0,0,30
309,-1,0,-1,-1,-1,-1,0,0
310,-1,-1,-1,-1,0,-1,-1,0
311,-1,1,0,0,1,0,1,-20
312,0,0,0,1,0,0,0,-20
313,-2,0,2,1,-2,-1,-2,30
314,0,0,0,0,0,0,0,20
315,0,0,0,0,0,1,2,10
316,-2,-1,0,-1,-2,-2,-2,-30
317,0,0,0,-1,-1,0,0,40
318,2,1,0,1,1,2,2,20
319,0,0,1,1,1,-1,-2,0
320,0,0,0,0,0,0,0,30
321,0,0,1,-2,-1,0,0,10
322,2,1,0,2,1,0,1,20
323,2,1,1,2,1,2,2,20
324,1,1,0,0,1,1,1,30
325,1,1,2,1,1,2,2,20
326,2,2,1,1,2,1,2,40
327,1,1,2,2,2,0,2,30
328,1,1,1,2,2,1,2,10
329,0,1,0,0,0,0,0,0
330,1,0,1,0,0,0,0,30
331,1,2,2,2,1,2,2,10
332,0,0,0,0,0,0,0,50
333,0,-2,-1,-2,-1,-1,0,-40
334,2,0,1,1,0,1,1,40
335,0,0,1,1,0,1,0,30
336,2,1,1,-1,1,1,2,10
337,0,0,0,0,0,0,0,-10
338,-1,-2,-1,0,1,2,-1,30
339,0,0,0,1,-1,0,0,30
340,0,0,0,0,0,0,0,50
341,0,1,1,0,0,0,1,10
342,0,0,0,0,0,0,0,30
343,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,10
345,1,2,1,1,2,0,1,50
346,0,0,0,0,0,0,0,30
347,1,1,-1,0,1,0,1,30
348,0,1,1,0,-2,1,1,10
349,0,0,0,0,0,0,0,30
350,1,2,1,2,2,1,2,50
351,2,1,0,0,1,2,2,10
352,-2,-1,-1,0,0,0,0,-10
353,2,2,2,2,2,2,2,50
354,0,1,1,1,0,1,1,0
355,1,2,1,2,1,2,1,50
356,2,2,1,1,2,2,2,20
357,0,0,1,1,2,1,1,40
358,1,-1,-1,0,-1,-1,1,30
359,0,1,1,0,0,0,1,0
360,0,-1,-1,-1,0,-1,-1,0
361,0,0,0,-1,0,0,0,40
362,-1,0,0,0,0,1,-1,30
363,0,0,0,0,0,0,0,0
364,1,1,1,1,1,1,1,20
365,0,0,1,1,2,2,1,-20
366,0,0,0,0,1,0,0,-50
367,2,1,1,-1,0,2,-1,40
368,2,0,0,0,0,0,0,0
369,2,0,1,2,1,0,0,0
370,0,1,0,0,-1,-2,0,20
371,0,0,0,0,0,0,1,10
372,1,-1,0,1,1,0,0,10
373,0,0,0,0,0,0,0,-10
374,0,0,1,1,2,2,-2,50
375,0,0,-1,-1,0,0,0,-10
376,0,-1,0,-1,0,-2,-1,30
377,0,0,0,0,0,0,0,20
378,-1,0,1,0,-1,-2,1,-30
379,-1,0,1,0,-1,0,0,10
380,1,1,-1,0,-1,0,1,20
381,2,0,-1,-1,0,0,-1,50
382,0,0,0,1,0,0,0,40
383,-2,-1,1,0,1,0,1,10
384,2,1,0,0,1,0,0,20
385,2,2,2,2,2,2,2,50
386,-1,0,0,-2,1,1,-1,10
387,0,0,0,0,0,0,0,30
388,0,0,0,0,0,0,0,10
389,0,0,0,0,0,0,-1,50
390,1,1,0,0,2,1,0,20
391,0,0,-2,-1,-1,-2,-2,-30
392,0,0,0,0,0,0,0,0
393,0,0,-1,0,-2,1,0,0
394,0,1,1,0,0,1,1,20
395,1,1,0,0,1,1,1,20
396,0,0,-1,0,0,0,0,0
397,0,-1,-1,-1,0,0,1,20
398,-1,-2,2,0,-2,-1,1,40
399,0,1,0,0,1,0,0,50
400,1,1,-2,1,0,-1,-1,20
401,1,0,1,2,1,2,1,40
402,1,1,1,1,1,1,1,50
403,1,0,0,0,1,0,0,0
404,0,2,1,1,0,-1,2,0
405,2,2,1,2,2,1,2,30
406,-1,0,1,-1,1,-1,2,30
407,0,0,1,0,1,0,-1,50
408,-1,-1,-1,-1,-1,-1,-1,30
409,0,0,-1,-1,0,0,0,20
410,0,1,0,1,2,0,1,30
411,1,1,0,0,1,0,0,20
412,0,0,0,0,0,0,-1,20
413,0,0,2,0,0,1,1,50
414,-2,-1,0,0,0,0,0,10
415,-1,-1,0,0,0,-2,0,10
416,0,0,0,0,0,0,0,30
417,0,0,0,0,0,1,0,40
418,-2,-2,-2,-2,-2,-2,-2,-20
419,1,0,0,0,1,0,0,20
420,0,2,0,2,2,0,0,50
421,0,0,0,0,1,0,1,40
422,0,0,0,1,1,1,0,0
423,1,2,1,2,1,1,2,50
424,-1,0,-2,-1,-1,-1,1,-30
425,-1,0,-1,1,0,1,0,10
426,0,0,1,1,0,0,1,10
427,-2,-2,0,0,1,0,-1,0
428,0,0,0,0,0,0,0,0
429,-2,0,-1,-2,1,0,-2,10
430,0,0,0,0,0,0,0,50
431,0,0,0,0,0,0,-2,50
432,0,1,1,0,1,2,2,40
433,0,0,0,0,0,0,0,20
434,0,1,1,1,1,0,0,40
435,0,0,1,0,0,0,-1,-20
436,0,1,1,1,1,1,2,30
437,0,1,-1,0,1,-1,-1,20
438,1,2,1,2,1,2,2,50
439,1,1,0,2,0,1,0,30
440,-1,2,2,-2,-2,1,-2,-20
441,0,0,0,1,0,0,0,50
442,2,0,1,-1,1,1,0,50
443,0,0,0,0,0,0,0,20
444,1,-1,1,1,0,0,0,10
445,0,0,-1,0,0,1,0,-10
446,1,0,1,0,1,1,2,20
447,-1,-1,-1,1,-1,0,1,0
448,2,0,-1,-1,0,-1,1,10
449,0,0,0,0,0,0,2,50
450,1,0,2,1,0,2,1,50
451,0,0,0,0,0,2,2,0
452,-1,0,0,0,0,1,0,-10
453,-1,0,0,-2,-1,1,1,30
454,0,1,0,0,0,-1,1,30
455,0,0,0,0,0,0,0,0
456,0,0,0,0,0,0,0,30
457,0,0,0,0,0,0,0,0
458,1,1,1,1,2,1,1,20
459,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0
461,1,1,0,0,0,0,-1,0
462,0,0,0,0,0,0,-2,0
463,0,0,1,0,0,0,0,-20
464,0,1,-1,-1,1,0,0,40
465,-1,0,1,1,1,1,1,30
466,0,-1,0,0,0,0,0,0
467,1,0,1,0,0,1,0,50
468,0,0,0,0,0,0,0,0
469,0,1,1,1,2,1,2,20
470,1,0,1,0,0,0,0,0
471,0,1,-2,0,-1,-1,0,20
472,0,0,0,0,0,0,0,50
473,0,0,-1,0,0,0,0,40
474,0,0,0,0,0,0,0,0
475,2,2,2,2,2,2,2,30
476,1,-1,-1,-1,-1,-1,2,30
477,0,1,2,1,1,0,2,50
478,0,0,1,0,0,0,1,40
479,0,1,1,2,1,-1,0,20
480,0,0,1,1,0,0,2,0
481,1,1,0,0,0,1,1,0
482,1,1,1,2,1,1,1,30
483,1,2,1,0,0,1,-1,-10
484,-1,-2,-1,-1,-2,-1,0,0
485,0,1,0,1,2,1,-1,30
486,0,1,0,0,0,0,-1,0
487,0,0,0,0,1,0,1,30
488,0,-1,1,1,0,0,1,10
489,-1,0,1,0,1,-1,1,50
490,0,0,0,0,0,0,0,-20
491,0,0,0,0,0,0,0,0
492,-1,-1,-1,-1,-1,-1,-1,-50
493,2,2,2,1,2,-1,2,20
494,0,1,0,0,0,0,0,50
495,2,-2,0,-2,0,2,0,30
496,0,0,0,0,0,0,0,0
497,-1,0,0,0,0,0,2,30
498,0,0,0,0,0,0,-2,0
499,0,0,1,0,-1,0,1,30
500,-1,0,0,1,0,1,1,30
501,0,0,0,0,0,0,0,0
502,1,1,1,1,1,1,1,0
503,0,0,-1,0,1,0,-1,30
504,-1,1,-1,0,-1,0,0,0
505,1,0,2,1,0,1,-2,50
506,0,1,-1,0,1,-1,-2,-20
507,0,1,1,1,1,1,1,20
508,0,1,0,0,1,0,0,30
509,0,1,1,1,0,1,1,20
510,2,2,2,2,2,2,2,-30
